Accident/underwriting year,Development year,sum(claim_cost)
2002,2012,156784744000000
2003,2012,140593024000000
2003,2013,139748908000000
2004,2012,157821934000000
2004,2013,156913164000000
2004,2014,158411097000000
2005,2012,162240550000000
2005,2013,161396423899816
2005,2014,160544204900345
2005,2015,163147776000000
2006,2012,169586445000000
2006,2013,168687324000000
2006,2014,168013392000000
2006,2015,169009312000000
2006,2016,170092505000000
2007,2012,168242823000000
2007,2013,170020365000000
2007,2014,171948132000000
2007,2015,171891405000000
2007,2016,170760064000000
2007,2017,168756120000000
2008,2012,179113528000000
2008,2013,180184620000000
2008,2014,180387000000000
2008,2015,178421228000000
2008,2016,176384624000000
2008,2017,177579296000000
2008,2018,179289600000000
2009,2012,194456030000000
2009,2013,197267920000000
2009,2014,195007010000000
2009,2015,194536161000000
2009,2016,192349730000000
2009,2017,188155080000000
2009,2018,191282216000000
2009,2019,190999268000000
2010,2012,177308736000000
2010,2013,191561964000000
2010,2014,190566792000000
2010,2015,188730724000000
2010,2016,186205043899782
2010,2017,185244448000000
2010,2018,185065930000000
2010,2019,185240500000000
2010,2020,184752012000000
2011,2012,167529384000000
2011,2013,188835872000000
2011,2014,201159760000000
2011,2015,197484987000000
2011,2016,193727436000000
2011,2017,191227306000000
2011,2018,191243325000000
2011,2019,190061980000000
2011,2020,190031370000000
2012,2012,116498800000000
2012,2013,183993696000000
2012,2014,206802176000000
2012,2015,218895110000000
2012,2016,212793249899862
2012,2017,210583047899913
2012,2018,210407253000000
2012,2019,209592064000000
2012,2020,210007556000000
2013,2013,119915046000000
2013,2014,198619022000000
2013,2015,213373584000000
2013,2016,214408064000000
2013,2017,207292500000000
2013,2018,204969666000000
2013,2019,205554996000000
2013,2020,204379554000000
2014,2014,143902948000000
2014,2015,215443800000000
2014,2016,226482750000000
2014,2017,226637775000000
2014,2018,219973456000000
2014,2019,216054090000000
2014,2020,215543056000000
2015,2015,147298585000000
2015,2016,215459860000000
2015,2017,220314504000000
2015,2018,225437260000000
2015,2019,226265148000000
2015,2020,222578741000000
2016,2016,168902715000000
2016,2017,233882838000000
2016,2018,240649143000000
2016,2019,255543624000000
2016,2020,259134912000000
2017,2017,155341840000000
2017,2018,213993024000000
2017,2019,240094832000000
2017,2020,268849308000000
2018,2018,102376691000000
2018,2019,166564130000000
2018,2020,215857440000000
2019,2019,104131479000000
2019,2020,166075520000000
2020,2020,108422667000000
