Accident/underwriting year,Development year,sum(Value)
2002,2012,2305658000
2003,2012,2096913000
2003,2013,2097732000
2004,2012,1993960000
2004,2013,1988760000
2004,2014,1991340000
2005,2012,1900475000
2005,2013,1903496000
2005,2014,1893445000
2005,2015,1899392000
2006,2012,1800918000
2006,2013,1794546000
2006,2014,1791612000
2006,2015,1802232000
2006,2016,1795698000
2007,2012,1795122000
2007,2013,1805526000
2007,2014,1800504000
2007,2015,1799910000
2007,2016,1812312000
2007,2017,1802736000
2008,2012,1798128000
2008,2013,1795860000
2008,2014,1803870000
2008,2015,1797192000
2008,2016,1800864000
2008,2017,1806912000
2008,2018,1800900000
2009,2012,1889854000
2009,2013,1902584000
2009,2014,1892305000
2009,2015,1894509000
2009,2016,1902470000
2009,2017,1897530000
2009,2018,1900817000
2009,2019,1900988000
2010,2012,1797048000
2010,2013,1908588000
2010,2014,1907676000
2010,2015,1905358000
2010,2016,1904142000
2010,2017,1900456000
2010,2018,1895554000
2010,2019,1902470000
2010,2020,1896428000
2011,2012,1903743000
2011,2013,2000380000
2011,2014,1999600000
2011,2015,1991780000
2011,2016,2005460000
2011,2017,1999240000
2011,2018,2001500000
2011,2019,1999600000
2011,2020,1995080000
2012,2012,1506450000
2012,2013,1997760000
2012,2014,1996160000
2012,2015,2102835000
2012,2016,2102898000
2012,2017,2101827000
2012,2018,2101071000
2012,2019,2291168000
2012,2020,2298988000
2013,2013,1597536000
2013,2014,2105502000
2013,2015,2097774000
2013,2016,2191904000
2013,2017,2197800000
2013,2018,2200748000
2013,2019,2203806000
2013,2020,2194412000
2014,2014,1696498000
2014,2015,2209680000
2014,2016,2202750000
2014,2017,2291283000
2014,2018,2283118000
2014,2019,2291030000
2014,2020,2191288000
2015,2015,2202970000
2015,2016,2398440000
2015,2017,2401248000
2015,2018,2493775000
2015,2019,2505150000
2015,2020,2392248000
2016,2016,2105019000
2016,2017,2610972000
2016,2018,2694951000
2016,2019,2690982000
2016,2020,2593344000
2017,2017,2213420000
2017,2018,2805152000
2017,2019,2881933000
2017,2020,2714634000
2018,2018,2205962000
2018,2019,2692953000
2018,2020,2698218000
2019,2019,2088597000
2019,2020,2495125000
2020,2020,1711407000
